code,description
6469-1,Tri Stn Stl
64691-9,Sexual desire felt PhenX
64692-7,Sexual desire level rate PhenX
64693-5,Overall sex life satisfac PhenX
64694-3,Sexual relationship satisfac PhenX
64695-0,Confidence get keep erection PhenX
64696-8,No menstrual period 3 or more Mos PhenX
64697-6,No menstrual period breastfeeding PhenX
64698-4,No period breastfeed preg always PhenX
64699-2,Menstrual cycle pattern age 18-22 PhenX
64700-8,Menstrual cycle typical days PhenX
64701-6,Menstrual period stop permanent PhenX
64702-4,Menstrual period stopped age PhenX
64703-2,Get up urinate night times PhenX
64704-0,Urinate feel bladder not empty PhenX
64705-7,Trouble starting urinate PhenX
64706-5,Urinary stream force decrease PhenX
64707-3,Prostate surgery not cancer PhenX
64708-1,Number pregnancy PhenX
6470-9,Wet Prep Stl
64709-9,Pregnancy sequence PhenX
64710-7,Pregnancy outcome PhenX
64711-5,Pregnancy last W Mo PhenX
64712-3,Pregnancy end date PhenX
64713-1,Frequent nausea vomiting Mos PhenX
64714-9,Baby boy girl PhenX
64715-6,Heavy alcohol before preg nRate PhenX
64716-4,Alcohol last 3Mo pregnancy PhenX
6471-7,Other Stn Tiss
64717-2,Heavy alc last 3Mo preg nRate PhenX
64718-0,Receive help alcohol drug prob PhenX
64719-8,Father pregnancy ever PhenX
64720-6,Father pregnancy times PhenX
64721-4,Father pregnancy age PhenX
64722-2,Planned pregnancy PhenX
64723-0,Planned pregnancy Mos achieve PhenX
64724-8,Multiple pregnancy PhenX
6472-5,Calcofluor white Tiss
64726-3,This pregnancy outcome PhenX
64727-1,Birth loss date PhenX
64728-9,Had vaginal intercourse PhenX
64729-7,Vaginal intercourse first age PhenX
64730-5,Num vag intercourse partners PhenX
64731-3,Vag intercrse partners 12Mo nRate PhenX
64732-1,# vaginal intercourse 12Mo nRate PhenX
6473-3,Tri Stn Tiss
64733-9,Condom use count 12Mo nRate PhenX
64734-7,Sexual attraction level PhenX
64735-4,Same gender sexual contact exper PhenX
64736-2,Same gender genital contact ever PhenX
64737-0,When was last occasion PhenX
64738-8,# of largest bead - R testis PhenX
64739-6,# of largest bead - L testis PhenX
64740-4,Eye Contact biometry instru mod PhenX
6474-1,Gram Stn Urth
64741-2,Eye PhenX
64742-0,R eye Axial length
64744-6,Cornea thickness R eye PhenX
64745-3,Eye problem PhenX
64746-1,Eye problem last 12Mo PhenX
64747-9,Which eye PhenX
64748-7,Symptoms duration PhenX
64749-5,Eye problem ongoing PhenX
64750-3,Symptom severity
64751-1,Frequently squinting PhenX
64752-9,Difficulty drawing coloring PhenX
64753-7,Difficulty seeing PhenX
64754-5,Close one eye bright light PhenX
64755-2,Close one eye concentrating PhenX
64756-0,Eye exam dilating pupils PhenX
64757-8,Child vision problem PhenX
6475-8,Mobiluncus rRNA Spec Ql Probe
64758-6,Vision problem Dr. told PhenX
64759-4,Vision problem treatment PhenX
64760-2,Vision problem relatives PhenX
64761-0,Which relatives vison problem PhenX
64762-8,Other relative PhenX
64763-6,Eye problem sisters PhenX
64764-4,Eye problem brothers PhenX
64765-1,Eye problem grandparents PhenX
6476-6,MuV IgG Ser Ql IA
64766-9,Eye problem other relatives PhenX
64767-7,Child strabismus eye PhenX
64768-5,Child strabismus treatment PhenX
64769-3,Other strabismus treatment PhenX
64770-1,Myopia treatment PhenX
64771-9,Other myopia treatment PhenX
64772-7,Myopia Dr. times last 12Mo nRate PhenX
64773-5,Other eye vision problem tx date PhenX
6477-4,MuV IgG Titr Ser IF
64774-3,Other eye vision problems PhenX
64775-0,Other eye vision problem tx PhenX
64776-8,Glaucoma drops currently PhenX
64777-6,Gaucoma drops name PhenX
64778-4,Other glaucoma drops PhenX
64779-2,Dry eyes past 3Mo PhenX
647-8,ZN Stn Spt
64780-0,Dry eye medication currently PhenX
64781-8,Steroid eye drops currently PhenX
6478-2,MuV IgM Ser Ql IA
64782-6,Child born health problems PhenX
64783-4,Child health problem specify PhenX
64784-2,Child difficulty seeing 12Mo PhenX
64785-9,Child eye problem diagnosis PhenX
64786-7,Child eye problem dx date PhenX
64787-5,Child amblyopia dx date PhenX
64788-3,Child strabismus dx date PhenX
64789-1,Operation straighten eyes ever PhenX
6479-0,MuV IgM Titr Ser IF
64790-9,Operation straighten eyes date PhenX
64791-7,Child eye patch date PhenX
64792-5,Child overall health PhenX
64793-3,Childs eyesight now PhenX
64794-1,Cigarettes before preg per D PhenX
64795-8,Cigarettes per D last 3Mo preg PhenX
64796-6,Alc drinks per W 3Mo before preg PhenX
64797-4,O2 Ct VFr BldCoV Calc
64798-2,O2 Ct VFr BldMV Calc
64799-0,O2 Ct VFr BldC Calc
64800-6,O2 Ct VFr BldCoA Calc
64803-0,City town Y end PhenX
64804-8,Daytime activity job 18 PhenX
64805-5,Daytime activity job 2 PhenX
64806-3,Y sunlight exposure chng PhenX
64807-1,Workday sunlight exposure H nRate PhenX
6480-8,MuV Ag Ser Ql IF
64808-9,Sunlight protection PhenX
64809-7,Workday sunlight protection freq PhenX
64810-5,Outside sunlight protection freq PhenX
64811-3,Leisure sunlight exposure H nRate PhenX
64812-1,Leisure over water >3H PhenX
64813-9,Leisure sunlight protection freq PhenX
64814-7,Both eyes eyesight PhenX
64815-4,Adult eye problem PhenX
6481-6,M pneumo IgG Titr Ser IF
64816-2,Eye problem ever PhenX
64817-0,Cataract surgery ever PhenX
64818-8,Eye problem relative PhenX
64819-6,Glaucoma tx ever PhenX
64820-4,Diabetic retinopathy ever PhenX
64821-2,Diabetic retinopathy surgery ever PhenX
64822-0,Diabet retinop laser surg times PhenX
64823-8,Amblyopia ever PhenX
6482-4,M pneumo rRNA Spt Ql Probe
64824-6,Double vision ever PhenX
64825-3,Tilt head look straight ever PhenX
64826-1,Eye muscle surgery PhenX
64827-9,Patch eye drops correction ever PhenX
64828-7,Glasses contacts ever PhenX
64829-5,Details glasses contacts PhenX
64830-3,Coloboma absence ocular tiss PhenX
64831-1,Microphthalmia small eye PhenX
6483-2,M pneumo rRNA Spec Ql Probe
64832-9,Epibulbar dermoid eye tumors PhenX
64833-7,Abnormal ocular features PhenX
64834-5,Retinal defects tears detachments PhenX
64835-2,Other visual impairment PhenX
64836-0,Describe other visual impair PhenX
64837-8,Relative with strabismus PhenX
64838-6,Strabismus treatment PhenX
64839-4,Strabismus treament relative PhenX
6484-0,Deprecated M pneumo rRNA Spt Ql Prb
64840-2,Other relative strabismus PhenX
64841-0,ETDRS Visual Acuity Chart line PhenX
64842-8,Visual acuity test distance PhenX
64843-6,Visual acuity letter line PhenX
64844-4,Equivalent visual acuity PhenX
64845-1,Overall health PhenX
64846-9,Eyesight both eyes PhenX
64847-7,Time worry eyesight PhenX
64848-5,Pain discomfort around eyes PhenX
64849-3,Currently driving PhenX
64850-1,Never or given up driving PhenX
64851-9,Is eyesight reason PhenX
64852-7,Diff driving day familiar places PhenX
64853-5,Diff driving night PhenX
64854-3,Difficult driving diff conditions PhenX
64855-0,Accomplish less due to vision PhenX
64856-8,Limited work due to vision PhenX
6485-7,Deprecated M pneumo rRNA XXX Ql Prb
64857-6,Eye pain discomfort limit doing PhenX
64858-4,Rate overall health PhenX
64859-2,Rate eyesight now PhenX
648-6,Gram Stn Spt
64860-0,Contact lense currently PhenX
64861-8,Contact lense ever PhenX
64862-6,Contact lense next year PhenX
64863-4,Contact lense type PhenX
64864-2,Measurement sequence PhenX
6486-5,Mycoplasma Spec Cult
64866-7,City town 18 PhenX
64867-5,Next city town PhenX
64868-3,Y turn 18 PhenX
64869-1,City PhenX
64870-9,Contact lense sleep PhenX
64871-7,Child glasses contacts currently PhenX
64872-5,Glasses contact lense freq PhenX
6487-3,N gonorrhoea Ag Genital Ql IA
64873-3,Glasses contact lense astigmatism PhenX
64874-1,Glasses contact lense myopia PhenX
64875-8,Glasses contact lense hyperopia PhenX
64876-6,Glasses contact lense other PhenX
64877-4,Other glasses contact lense PhenX
64878-2,Glasses no longer need PhenX
64879-0,Glasses first date Glasses Rx PhenX
64880-8,Glasses first age PhenX
6488-1,N gonorrhoea Ag Genital Ql IF
64881-6,Date stopped PhenX
64882-4,Reason stopped PhenX
64883-2,Glasses freq PhenX
64884-0,Wear glasses PhenX
64885-7,Glasses type PhenX
64886-5,Distance glasses age PhenX
64887-3,Reading glasses age PhenX
64888-1,Current glasses age PhenX
64889-9,Glasses strength checked last PhenX
64890-7,Newspaper print read well PhenX
64891-5,Newspaper print read well last PhenX
64892-3,Use magnifier read PhenX
64893-1,Anxiety animal SCARED-R
64894-9,Anxiety working out SCARED-R
64895-6,Anxiety doubt did something SCARED-R
64896-4,Anxiety sweat SCARED-R
64897-2,I am a worrier SCARED-R
64898-0,Anxiety operation SCARED-R
6489-9,N gonorrhoea Ag Genital Ql LA
64899-8,Anxiety aversive event SCARED-R
64900-4,Anxiety frightened no reason SCARED-R
64901-2,Anxiety home alone SCARED-R
64902-0,Scared think aversive event SCARED-R
64903-8,Anxiety talk strangers SCARED-R
64904-6,Anxiety frightened choking SCARED-R
64905-3,Anxiety told worry too much SCARED-R
64906-1,Anxiety away from family SCARED-R
6490-7,N gonorrhoea Ag Urth Ql
64907-9,Anxiety don't like me SCARED-R
64908-7,Anxiety pass out SCARED-R
64909-5,Anxiety contamination SCARED-R
64910-3,I am nervous SCARED-R
64911-1,Anxiety follow parents SCARED-R
64912-9,Anxiety frightening thoughts SCARED-R
64913-7,Anxiety look nervous SCARED-R
64914-5,Anxiety nervous with strangers SCARED-R
6491-5,Deprecated N gonorrhoea rRNA XXX Ql Prb
64915-2,Anxiety afraid doctor SCARED-R
64916-0,Anxiety school SCARED-R
64917-8,Anxiety frightened crazy SCARED-R
64918-6,Anxiety sleep alone SCARED-R
64919-4,Anxiety dentist SCARED-R
64920-2,Anxiety good others SCARED-R
64921-0,Anxiety not dangerous animal SCARED-R
64922-8,Anxiety thunder SCARED-R
6492-3,N men Ag Spec Ql IF
64923-6,Anxiety do things twice SCARED-R
64924-4,Anxiety frightening dreams SCARED-R
64925-1,Anxiety clean tidy SCARED-R
64926-9,Anxiety things unreal SCARED-R
64927-7,Anxiety flying SCARED-R
64928-5,Anxiety nightmares parents SCARED-R
64929-3,Anxiety going to school SCARED-R
64930-1,Anxiety scared of thoughts SCARED-R
6493-1,N men sg A Ag CSF Ql IA
64931-9,Anxiety heart race SCARED-R
64932-7,Anxiety injection SCARED-R
64933-5,Anxiety serious disease SCARED-R
64934-3,Anxiety shaky SCARED-R
64935-0,Anxiety nightmares bad things SCARED-R
64936-8,Anxiety afraid of attacks SCARED-R
64937-6,Anxiety bad things parents SCARED-R
64938-4,Anxiety shy strangers SCARED-R
64939-2,Fantasize hurting others SCARED-R
649-4,Gram Stn Stl
64940-0,Anxiety worry future SCARED-R
64941-8,Anxiety frightened throw up SCARED-R
64942-6,Anxiety performance SCARED-R
64943-4,Anxiety scared school SCARED-R
64944-2,Anxiety past events SCARED-R
64945-9,Anxiety frightened dizzy SCARED-R
64947-5,Anxiety unwanted thoughts SCARED-R
64948-3,Anxiety afraid dark SCARED-R
6494-9,N men sg A Ag CSF Ql LA
64949-1,Anxiety thoughts bad events SCARED-R
64950-9,Anxiety animal others no fear SCARED-R
64951-7,Anxiety hospital SCARED-R
64952-5,Anxiety hard to breathe SCARED-R
64953-3,Anxiety heights SCARED-R
64954-1,Anxiety head stomachache school SCARED-R
64955-8,Anxiety people don't know SCARED-R
6495-6,N men sg A Ag Spec Ql IF
64956-6,Anxiety blood SCARED-R
64957-4,Anxiety fixed order SCARED-R
64958-2,Anxiety homesick SCARED-R
64959-0,Kiwi (rAct d) 8 IgE Qn
64960-8,Celery (rApi g) 1 IgE Qn
64961-6,Apple (rMal d) 1 IgE Qn
64962-4,Cashew nut (rAna o) 2 IgE Qn
64963-2,Brazil Nut (rBer e) 1 IgE Qn
6496-4,N men sg B Ag CSF Ql IA
64964-0,Hazelnut (rCor a) 1.0401 IgE Qn
64965-7,Peanut (rAra h) 9 IgE Qn
64966-5,Wheat (rTri a) 14 IgE Qn
64967-3,Black Alder (rAln g) 1 IgE Qn
64968-1,Hazelnut (rCor a) 1.0101 IgE Qn
64969-9,London Plane (rPla a) 1 IgE Qn
64970-7,London Plane (rPla a) 3 IgE Qn
64971-5,Goosefoot (rChe a) 1 IgE Qn
6497-2,N men sg B Ag CSF Ql IF
64972-3,English plantain (rPla l) 1 IgE Qn
64973-1,Dog (rCan f) 5 IgE Qn
64974-9,Horse (rEqu c) 1 IgE Qn
64975-6,Cat (rFel d) 1 IgE Qn
64976-4,Cat (rFel d) 4 IgE Qn
64977-2,A alternata (rAlt a) 6 IgE Qn
64978-0,C herbarum (rCla h) 8 IgE Qn
64979-8,B tropicalis (rBlo t) 5 IgE Qn
6498-0,N men sg B Ag CSF Ql LA
64980-6,Am house dust mite (rDer f) 2 IgE Qn
64981-4,L destructor (rLep d) 2 IgE Qn
64982-2,Roach (rBla g) 1 IgE Qn
64983-0,Roach (rBla g) 2 IgE Qn
64984-8,Roach (rBla g) 5 IgE Qn
64985-5,Anisakis (rAni s) 1 IgE Qn
64986-3,Anisakis (rAni s) 3 IgE Qn
64987-1,Race or ethnicity Fam Mem PhenX
64988-9,Child other eye vision problems PhenX
64989-7,Other Dr. reported eye vision tx PhenX
64990-5,School grade
64991-3,Observation date
64993-9,US Guided Needle place
64994-7,Vaccine fund pgm elig cat
64995-4,RFA IT a-L Views W contr IA
64996-2,XR Lung-L Views W contr IB
64997-0,XR Lung-R Views W contr IB
6499-8,N men sg C Ag CSF Ql IA
64998-8,RF Guided FT-L Cath place--transcervical
64999-6,RF Guided FR-R Cath place--transcervical
65000-2,RFA IT a-R Views W contr IA
65001-0,Prefer do things with others AQ
65002-8,Prefer do things same way AQ
6500-3,N men sg C Ag CSF Ql LA
65003-6,Easy create picture in mind AQ
65004-4,Strongly absorbed AQ
65005-1,Notice small sounds AQ
65006-9,Notice license plates AQ
65007-7,People call me impolite AQ
65008-5,Easily imagine story characters AQ
65009-3,I am fascinated by dates AQ
65010-1,Keep track different conversations AQ
6501-1,N men sg C Ag Spec Ql IF
65011-9,Social situations easy AQ
65012-7,Notice details AQ
65013-5,Library over party AQ
65014-3,Make up stories easy AQ
65015-0,Drawn to people AQ
65016-8,Strong interests AQ
65017-6,Enjoy chit-chat AQ
65018-4,Dominate conversation AQ
65019-2,Fascinated by numbers AQ
650-2,Acid fast Kiny Stn Ur
65020-0,Diff understanding characters AQ
65021-8,Don't enjoy fiction AQ
65022-6,Difficulty making friends AQ
65023-4,Notice patterns AQ
65024-2,Theatre over museum AQ
65025-9,Daily routine AQ
65026-7,Difficulty with conversation AQ
65027-5,Read between conversation lines AQ
65028-3,Whole picture over details AQ
6502-9,N men sg Y Ab Titr Spec IF
65029-1,Diff remembering phone numbers AQ
65030-9,Notice small changes AQ
65031-7,Tell if boring others AQ
65032-5,Easy to multi-task AQ
65033-3,Difficulty phone conversations AQ
65034-1,Enjoy spontaneity AQ
65035-8,Difficulty understanding jokes AQ
65036-6,Easy to read facial expressions AQ
6503-7,N men sg Y Ag CSF Ql IA
65037-4,Easy to switch after interruption AQ
65038-2,Good at chit-chat AQ
65039-0,Go on about one thing AQ
65040-8,Pretend with other children AQ
65041-6,Collect categories AQ
65042-4,Difficulty imagine be someone else AQ
65043-2,Enjoy planning activities AQ
65044-0,Enjoy social occasions AQ
6504-5,N men sg Y Ag CSF Ql IF
65045-7,Difficult working out intentions AQ
65046-5,Anxious new situations AQ
65047-3,Enjoy meeting new people AQ
65048-1,Good diplomat AQ
65049-9,Difficulty remember birth dates AQ
65050-7,Easy playing pretend games AQ
65051-5,Child prefer things with others AQ Adol
6505-2,N men sg Y Ag CSF Ql LA
65052-3,Child prefer do things same way AQ Adol
65053-1,Child easy create picture mind AQ Adol
65054-9,Child strongly absorbed AQ Adol
65055-6,Child notices small sounds AQ Adol
65056-4,Child notices licwnse plates AQ Adol
65057-2,People call child impolite AQ Adol
65058-0,Child imagine story characters AQ Adol
65059-8,Child fascinated dates AQ Adol
6506-0,N men sg W135 Ag CSF Ql IF
65060-6,Child track diff conversations AQ Adol
65061-4,Child social situations easy AQ Adol
65062-2,Child notice details AQ Adol
65063-0,Child library over party AQ Adol
65064-8,Child make up stories easy AQ Adol
65065-5,Child drawn to people AQ Adol
65066-3,Child strong interests AQ Adol
65067-1,Child enjoy chit-chat AQ Adol
65068-9,Child dominate conversation AQ Adol
65069-7,Child fascinated numbers AQ Adol
65070-5,Child diff understand characters AQ Adol
65071-3,Child not enjoy reading AQ Adol
65072-1,Child hard make friends AQ Adol
65073-9,Child notices patterns AQ Adol
65074-7,Child theatre over museum AQ Adol
65075-4,Child daily routine AQ Adol
65076-2,Child difficulty conversation AQ Adol
65077-0,Child read between lines AQ Adol
6507-8,N men sg W135 Ag CSF Ql LA
65078-8,Child whole picture over details AQ Adol
65079-6,Child not remember phone numbers AQ Adol
65080-4,Child notice small changes AQ Adol
65081-2,Child tell if boring others AQ Adol
65082-0,Child easy to multi-task AQ Adol
65083-8,Child diff phone conversation AQ Adol
65084-6,Child enjoy spontaneity AQ Adol
65085-3,Child diff understand joke AQ Adol
6508-6,N men Ag CSF Ql
65086-1,Child easy to read face AQ Adol
65087-9,Child switch after interrupt AQ Adol
65088-7,Child good social chit-chat AQ Adol
65089-5,Child go on one thing AQ Adol
65090-3,Child pretend w other children AQ Adol
65091-1,Child collect categories AQ Adol
65092-9,Child diff imagine someone else AQ Adol
65093-7,Child enjoy planning activities AQ Adol
6509-4,N men rRNA CSF Ql Probe
65094-5,Child enjoys social occasions AQ Adol
65095-2,Child diff work out intentions AQ Adol
65096-0,Child anxious new situations AQ Adol
65097-8,Child enjoys meeting new people AQ Adol
65098-6,Child good diplomat AQ Adol
65099-4,Child diff remember birth dates AQ Adol
651-0,Acid fast Mod Kiny Stn Ur
65100-0,Join games CAST
65101-8,Chat spontaneously CAST
6510-2,HPV Ab Genital Ql IA
65102-6,Speaking by 2 CAST
65103-4,Enjoy sports CAST
65104-2,Important to fit in CAST
65105-9,Does child notice details CAST
65106-7,Take things literally CAST
65107-5,Pretending at age 3 CAST
65108-3,Enjoy repetition CAST
65109-1,Easy interact other children CAST
6511-0,HPV Ab Genital Ql IB
65110-9,Keep conversation going CAST
65111-7,Read at age level CAST
65112-5,Same interests as peers CAST
65113-3,Dominating interest CAST
65114-1,Friends or acquaintances CAST
65115-8,Share things CAST
65116-6,Enjoy joking around CAST
65117-4,Difficulty polite behavior CAST
65118-2,Unusual memory for details CAST
65119-0,Unusual voice CAST
65120-8,People are important CAST
65121-6,Get dressed CAST
65122-4,Conversation turn-taking CAST
65123-2,Engage in role-play CAST
65124-0,Socially inappropriate behavior CAST
65125-7,Count to 50 CAST
65126-5,Make eye-contact CAST
65127-3,Repetitive movements CAST
6512-8,HPV Ab Tiss Ql IA
65128-1,One-sided social behavior CAST
65129-9,You or I CAST
65130-7,Imagination or facts CAST
65131-5,Does not explain topic CAST
65132-3,Ride bicycle CAST
65133-1,Self imposed routine CAST
65134-9,Care how perceived CAST
65135-6,Redirects conversation CAST
6513-6,HPV Ab Tiss Ql IB
65136-4,Unusual phrases CAST
65137-2,Teachers concerns CAST
65139-8,Teachers concerns specify CAST
65140-6,Diagnosed language delay CAST
65141-4,Diagnosed ADHD CAST
65142-2,Dx hearing visual diff child CAST
65143-0,Diagnosed autism spectrum CAST
6514-4,HPV rRNA Genital Ql NAA+probe
65144-8,Diagnosed physical disability CAST
65145-5,Talkative BFI
65146-3,Finds fault BFI
65147-1,Thorough job BFI
65148-9,Depressed BFI
65149-7,Original BFI
65150-5,Reserved BFI
6515-1,HPV rRNA Tiss Ql NAA+probe
65151-3,Helpful BFI
65152-1,Somewhat careless BFI
65153-9,Relaxed BFI
65154-7,Curious BFI
65155-4,Energetic BFI
65156-2,Starts quarrels BFI
65157-0,Reliable worker BFI
65158-8,Tense BFI
65159-6,Ingenious BFI
65160-4,Generates enthusiasm BFI
65161-2,Forgiving BFI
65162-0,Disorganized BFI
65163-8,Worries BFI
65164-6,Active imagination BFI
65165-3,Myself quiet BFI
65166-1,Trusting BFI
65167-9,Lazy BFI
65168-7,Emotionally stable BFI
6516-9,HPV rRNA Spec Ql NAA+probe
65169-5,Inventive BFI
65170-3,Assertive BFI
65171-1,Aloof BFI
65172-9,Persevere BFI
65173-7,Moody BFI
65174-5,Artistic experiences BFI
65175-2,Shy - inhibited BFI
65176-0,Considerate BFI
6517-7,B19V IgM Ser Ql IB
65177-8,Efficientl BFI
65178-6,Remains calm BFI
65179-4,Prefers routine BFI
65180-2,Outgoing BFI
65181-0,Rude to others BFI
65182-8,Follows through on plans BFI
65183-6,Gets nervous BFI
65184-4,Reflective BFI
6518-5,P jiroveci Ag Ser Ql IF
65185-1,Few artistic interests BFI
65186-9,Cooperates with others BFI
65187-7,Easily distracted BFI
65188-5,Sophisticated art music literature BFI
65189-3,Nervous 30D K6
65190-1,Hopeless 30D K6
65191-9,
65192-7,Depressed 30D K6
6519-3,P jiroveci Ag Spt Ql IF
65193-5,Feelings last 30D K6
65194-3,Number Ds of 30D worked nRate K6
65195-0,Ds do only half 30D nRate K6
65196-8,Everything an effort 30D K6
65197-6,Number times see doctor 30D nRate K6
65198-4,Worthless 30D K6
65199-2,Physical health cause problems 30D K6
65200-8,Experienced harmful events PhenX
6520-1,Deprecated P carinii Ag XXX Ql IF
65201-6,Specify harmful events PhenX
65202-4,Event caused horror PhenX
65203-2,Event caused horror specify PhenX
65204-0,Bothered by event thoughts PhenX
65205-7,Reliving event PhenX
65206-5,Anxious about event PhenX
65207-3,Avoid thinking of event PhenX
65208-1,Avoid activities PhenX
65209-9,Unable to remember PhenX
65210-7,Detached since event PhenX
65211-5,Full range of feelings PhenX
65212-3,Unable to see a future PhenX
65213-1,Difficulty falling asleep PhenX
65214-9,Irritable since event PhenX
65215-6,Diff concentrating since event PhenX
65216-4,On alert since event PhenX
65217-2,Easily startled since event PhenX
65218-0,Upset by symptoms PhenX
6521-9,P jiroveci DNA Spec Ql NAA+probe
65219-8,Symptoms interfere with work PhenX
65220-6,Symptoms last PhenX
65221-4,When did event occur PhenX
65222-2,Date+time symptom onset
65223-0,Age of onset
65224-8,Trouble wrapping up project ASRS
65225-5,Difficulty getting organized ASRS
65226-3,Diff remembering appointments ASRS
6522-7,RABV Ab CSF-aCnc
65227-1,Procrastinate tasks ASRS
65228-9,Fidget while sitting ASRS
65229-7,Feet driven by motor ASRS
65230-5,Careless mistakes tedious task ASRS
65231-3,Diff attention repetitive task ASRS
65232-1,Diff concentrating on conversation ASRS
65233-9,Misplace items home work ASRS
65234-7,Freq distracted by noise ASRS
6523-5,RABV Ab CSF Nt-aCnc
65235-4,Freq leave seat at meetings ASRS
65236-2,Restless fidgety ASRS
65237-0,Difficulty unwinding ASRS
65238-8,Freq talk too much ASRS
65239-6,Finish others sentences ASRS
65240-4,Difficulty waiting turn ASRS
65241-2,Interrupt others when busy ASRS
65242-0,Close attention to detail SWAN
6524-3,RABV Ab Ser Nt-aCnc
65243-8,Sustain attention SWAN
65244-6,Listen when spoken to SWAN
65245-3,Follow through chores SWAN
65246-1,Organize tasks activities SWAN
65247-9,Engage mental effort SWAN
65248-7,Keep track activity items SWAN
65249-5,Ignore extraneous stimuli SWAN
6525-0,RABV Ab Tiss Nt-aCnc
65250-3,Remember daily activities SWAN
65251-1,Sit still SWAN
65252-9,Stay seated SWAN
65253-7,Modulate motor activity SWAN
65254-5,Play quietly SWAN
65255-2,Settle down SWAN
65256-0,Control excess talking SWAN
65257-8,Control blurting out SWAN
65258-6,Await turns SWAN
65259-4,Control interrupting SWAN
65260-2,Optimistic PhenX
65261-0,Other people feelings PhenX
65262-8,Act on immediate needs PhenX
65263-6,Parachute PhenX
65264-4,Missed events PhenX
65265-1,High-speed chase PhenX
65266-9,Deal with stress PhenX
65267-7,Someone I dislike gets hurt PhenX
6526-8,RABV Ab Spec-aCnc
65268-5,Impulsive decisions PhenX
65269-3,Easily scared PhenX
65270-1,Sympathize with others PhenX
65271-9,Missed work W/O calling PhenX
65272-7,Born leader PhenX
65273-5,Enjoy physical fight PhenX
65274-3,Jump W/O thinking PhenX
65275-0,Things turn out my way PhenX
6527-6,RABV Ab Spec Nt-aCnc
65276-8,Return insults PhenX
65277-6,Missed too much school PhenX
65278-4,Influence people PhenX
65279-2,Other peoples pain PhenX
652-8,ZN Stn Ur
65280-0,Good self control PhenX
65281-8,New situations PhenX
65282-6,Enjoy pushing people around PhenX
65283-4,Take money from wallet PhenX
6528-4,RABV Ag Tiss Ql IF
65284-2,Not talented PhenX
65285-9,Taunt others PhenX
65286-7,Abuse trust PhenX
65287-5,Less fear than others PhenX
65288-3,Not worried hurting others PhenX
65289-1,Keep appointments PhenX
65290-9,Bore quickly PhenX
65291-7,Not traumatized like others PhenX
6529-2,RABV Ag Tiss IF-aCnc
65292-5,Sensitive to others feelings PhenX
65293-3,Conned people for money PhenX
65294-1,Worried about unfamiliar situation PhenX
65295-8,No sympathy for others PhenX
65296-6,Trouble not consider consequences PhenX
65297-4,Convince others PhenX
65298-2,Honesty best policy PhenX
65299-0,Injured to see pain PhenX
65-3,Cefadroxil Islt KB
6530-0,Deprecated RABV Ag Tiss IF-aCnc
65300-6,Don't like lead groups PhenX
65301-4,Insult to get reaction PhenX
65302-2,Stolen from store PhenX
65303-0,Easily embarrassed PhenX
65304-8,Enjoy danger PhenX
65305-5,Hard to wait PhenX
65306-3,Avoid physical danger PhenX
65307-1,Don't mind hurting others PhenX
65308-9,Actions lost friends PhenX
65309-7,Stack up to others PhenX
65310-5,Concerned lack self-control PhenX
65311-3,Relate to people's emotions PhenX
65312-1,Robbed someone PhenX
65313-9,No worred about looking foolish PhenX
65314-7,Not bothered people hurting PhenX
65315-4,Work problems irresponsible PhenX
65316-2,Not good influencing others PhenX
65317-0,Stolen from vehicle PhenX
6531-8,Deprecated RABV Ag Tiss IF-aCnc
65318-8,At sup(a) Ab SerPl Ql
65319-6,Du sup(a) Ab SerPl Ql
65320-4,Fy3 Ab SerPl Ql
65321-2,Ge Ab SerPl Ql
65322-0,Gy sup(a) Ab SerPl Ql
65323-8,He Ab SerPl Ql
65324-6,Jk3 Ab SerPl Ql
65325-3,Ku Ab SerPl Ql
6532-6,RABV Ag Spec Ql IF
65326-1,LAN Ab SerPl Ql
65327-9,Lu 14 Ab SerPl Ql
65328-7,LW sup(a) Ab SerPl Ql
65329-5,McC sup(c) Ab SerPl Ql
65330-3,MER Ab SerPl Ql
65331-1,little cE Ab SerPl Ql
65332-9,Rh32 Ab SerPl Ql
65333-7,Sc1 Ab SerPl Ql
6533-4,RABV Ag Spec IF-aCnc
65334-5,Sc2 Ab SerPl Ql
65335-2,Sw sup(a) Ab SerPl Ql
65336-0,Tm Ab SerPl Ql
65337-8,Tr sup(a) Ab SerPl Ql
65338-6,WES sup(b) Ab SerPl Ql
65339-4,Wr sup(b) Ab SerPl Ql
65340-2,Micafungin Susc Islt
6534-2,Deprecated RABV Ag XXX IF-aCnc
65343-6,pO2 satn adj to 0.5 Bld
65344-4,Glucagon pre chal SerPl-mCnc
65345-1,Glucagon sp1 p chal SerPl-mCnc
65346-9,Glucagon sp2 p chal SerPl-mCnc
65347-7,Glucagon sp3 p chal SerPl-mCnc
65348-5,Glucagon sp4 p chal SerPl-mCnc
65349-3,Glucagon sp5 p chal SerPl-mCnc
65350-1,FSH pre/p chal SerPl-aCnc
65351-9,T3Free pre/p chal SerPl-sCnc
65352-7,Proinsulin sp1 p chal SerPl-sCnc
65353-5,Proinsulin sp2 p chal SerPl-sCnc
65354-3,Proinsulin sp3 p chal SerPl-sCnc
65355-0,Proinsulin sp4 p chal SerPl-sCnc
65356-8,Proinsulin sp5 p chal SerPl-sCnc
